iter	Passed	Remaining
1388	115953	51006
1389	116024	50917
1390	116110	50835
1391	116197	50752
1392	116282	50670
1393	116368	50587
1394	116448	50502
1395	116522	50415
1396	116611	50334
1397	116694	50250
1398	116784	50169
1399	116867	50086
1400	116954	50003
1401	117046	49924
1402	117132	49841
1403	117240	49768
1404	117341	49692
1405	117430	49611
1406	117512	49527
1407	117594	49443
1408	117674	49357
1409	117756	49273
1410	117842	49191
1411	117927	49108
1412	118012	49025
1413	118100	48944
1414	118195	48865
1415	118295	48788
1416	118390	48709
1417	118475	48626
1418	118565	48545
1419	118650	48463
1420	118742	48382
1421	118833	48302
1422	118926	48222
1423	119029	48146
1424	119125	48068
1425	119225	47991
1426	119326	47914
1427	119411	47831
1428	119509	47753
1429	119605	47674
1430	119694	47593
1431	119786	47512
1432	119879	47432
1433	119974	47353
1434	120072	47275
1435	120172	47198
1436	120290	47128
1437	120390	47051
1438	120493	46974
1439	120602	46900
1440	120707	46825
1441	120824	46754
1442	120950	46687
1443	121062	46614
1444	121171	46539
1445	121288	46468
1446	121391	46392
1447	121490	46313
1448	121592	46237
1449	121686	46157
1450	121780	46076
1451	121880	45999
1452	121971	45917
1453	122064	45836
1454	122160	45757
1455	122247	45674
1456	122343	45595
1457	122446	45518
1458	122544	45439
1459	122639	45359
1460	122735	45280
1461	122838	45203
1462	122932	45122
1463	123023	45041
1464	123116	44960
1465	123220	44883
1466	123321	44805
1467	123414	44725
1468	123508	44644
1469	123607	44565
1470	123700	44485
1471	123791	44403
1472	123874	44318
1473	123970	44239
1474	124073	44161
1475	124179	44085
1476	124282	44008
1477	124383	43929
1478	124483	43851
1479	124582	43772
1480	124683	43694
1481	124776	43612
1482	124870	43532
1483	124961	43450
1484	125052	43368
1485	125139	43285
1486	125223	43200
1487	125318	43120
1488	125407	43037
1489	125494	42954
1490	125578	42870
1491	125670	42788
1492	125757	42705
1493	125848	42623
1494	125924	42536
1495	126011	42453
1496	126103	42371
1497	126172	42282
1498	126256	42197
1499	126345	42115
1500	126429	42030
1501	126511	41945
1502	126597	41862
1503	126687	41779
1504	126770	41695
1505	126860	41612
1506	126950	41530
1507	127037	41447
1508	127119	41362
1509	127196	41275
1510	127280	41191
1511	127400	41118
1512	127516	41044
1513	127607	40962
1514	127698	40880
1515	127781	40795
1516	127862	40710
1517	127944	40625
1518	128026	40540
1519	128107	40454
1520	128187	40369
1521	128273	40285
1522	128362	40202
1523	128446	40118
1524	128526	40032
1525	128611	39948
1526	128700	39865
1527	128788	39782
1528	128880	39700
1529	128966	39617
1530	129046	39531
1531	129126	39445
1532	129203	39359
1533	129292	39276
1534	129395	39197
1535	129486	39115
1536	129571	39031
1537	129664	38949
1538	129753	38866
1539	129831	38780
1540	129918	38697
1541	130000	38612
1542	130087	38528
1543	130168	38443
1544	130256	38360
1545	130332	38273
1546	130418	38189
1547	130493	38102
1548	130582	38019
1549	130665	37935
1550	130744	37849
1551	130822	37763
1552	130916	37681
1553	130995	37595
1554	131082	37512
1555	131170	37429
1556	131259	37346
1557	131340	37260
1558	131420	37175
1559	131493	37087
1560	131582	37004
1561	131667	36920
1562	131762	36839
1563	131846	36755
1564	131927	36669
1565	132020	36587
1566	132104	36503
1567	132182	36417
1568	132262	36332
1569	132358	36251
1570	132447	36167
1571	132529	36082
1572	132622	36001
1573	132710	35917
1574	132799	35834
1575	132893	35752
1576	132985	35670
1577	133072	35587
1578	133167	35505
1579	133258	35423
1580	133344	35339
1581	133428	35254
1582	133509	35169
1583	133588	35083
1584	133672	34999
1585	133763	34916
1586	133844	34831
1587	133943	34751
1588	134027	34666
1589	134114	34583
1590	134200	34499
1591	134274	34412
1592	134372	34331
1593	134458	34247
1594	134542	34162
1595	134624	34077
1596	134710	33994
1597	134792	33909
1598	134875	33824
1599	134974	33743
1600	135068	33661
1601	135153	33577
1602	135250	33496
1603	135343	33414
1604	135428	33329
1605	135521	33247
1606	135602	33162
1607	135686	33077
1608	135773	32994
1609	135869	32912
1610	135965	32830
1611	136058	32748
1612	136153	32666
1613	136244	32583
1614	136343	32502
1615	136442	32421
1616	136538	32340
1617	136627	32256
1618	136711	32172
1619	136804	32089
1620	136887	32005
1621	136974	31921
1622	137068	31838
1623	137160	31756
1624	137248	31672
1625	137344	31590
1626	137429	31506
1627	137519	31423
1628	137626	31343
1629	137733	31264
1630	137831	31183
1631	137924	31100
1632	138013	31017
1633	138106	30934
1634	138192	30850
1635	138289	30768
1636	138391	30687
1637	138484	30605
1638	138570	30520
1639	138658	30437
1640	138747	30353
1641	138837	30270
1642	138932	30187
1643	139017	30103
1644	139110	30020
1645	139208	29939
1646	139296	29855
1647	139394	29773
1648	139485	29690
1649	139580	29607
1650	139680	29526
1651	139773	29443
1652	139862	29360
1653	139958	29277
1654	140050	29194
1655	140133	29109
1656	140215	29024
1657	140297	28939
1658	140378	28854
1659	140453	28767
1660	140534	28682
